tokipona,sitelenpona,sitelenJuniko,sitelenpilin,sitelenjelo,sitelensitelen,roots,mnemonic,etymology,gloss:Noun,gloss:Verb,gloss:Adjective,pu/ku/kulupu,related,rootsAlt
poki,,⊔∐,📦,,,U ＝,boxy,"tp: bokis ""box""",box / container / drawer / bowl / cup / bag / vessel,contain / box-in / enclose,contained / containing,,,
pona,,◡U,👍,😌,,U ☻ N,beneficial,"la: bonus ""good""",goodness / simplicity,fix / improve / simplify / make healthy,good / useful / clear,thanks; greetings??,ike,
powe,,,🧞,,,,pas-vrai,"fr: pas vrai ""not true""",falsehood,"deceive, trick; pretend","false, unreal",,,
pu,,🂠🀙,,🧘,,,book,book,The Book,refer to The Book,,reference book,,
puwa,,,,,,,hygge,,"plushie, stuffed-animal",snuggle?,snuggly? plush? hygge?,,,
sama,,=,⚖️,,,[ ⩍ U,same,"fi: sama ""same""",similarity / equality; sibling-of / fellows / peers,equalize / equate; resemble; become similar,similar; same-as; alike; equal,,,
seli,,,🔥,,,⊿ ◎ ⊹,fiery,"ka: cxeli ""hot""",fire; heat / warmth; chemical reaction,heat / warm up; cook,warm / hot; cooked,,lete,
selo,,,🔲,🍌,,⩍ E ＝,shell,"eo: selo ""skin""","shell, skin, covering, outer boundary",cover?,covered? enclosed?,,,
seme,,?,❓,,,ᴤ ⩍ ⩍,什麼,"zh: shenme ""what""",,,,what,,
sewi,,ﷲ,⬆️,☁️,,N ⩍ ◎,so be it,"ka: zevit ""upwards""",top / up; thing above,exalt? get-high?,above / high / elevated; holy / divine / sacred; awe-inspiring,,noka,I
sijelo,,,🚶,🧍,,~ ⩍ W,,"sh: tijelo ""body""","body, torso, physical stale",embody?,,,,N
sike,,⌾,⭕️,,,□,cycle,circle,round thing / circular thing; ball / circle / sphere / ball; cycle,repeat?,round; cyclical; annual,,,◎
sin,,,🎁,✨,,I S N,新,"zh: xin 新 ""new""",newness / novelty,renew / renovate / freshen,new / fresh; another / additional / extra,[adv] anew / again / newly,,O
sina,,ᑲ6ᑯ∂,👉,6️⃣👆,,⩍ ◎,,"fi: sina ""you""",you,,yours,you,mi ona,
sinpin,,,➡️,🗿,,＝ ⩍,前边,"yue: 前边 ""in front""",front / face; wall; chest / torso; anterior?,face?,in-front-of / foremost,,insa lawa monsi sijelo,
sitelen,,,🖼,🎨,,⊹ ＝,,"nl: schilderen ""image""?",picture / image; symbol / representation; writing,"draw, write",,,lukin toki,E N
soko,,,,🍄,,⩍ O,,"ka: soko ""mushroom""",mushroom / fungus,,,,,
sona,,,🧠,,,~ ~,some know,"ka: codna ""knowledge""",knowledge / wisdom / intelligence,know / understand; be skilled at; have know-how; gongfu,aware? knowledgeable? smart?,,,
soweli,,,🐒,🦔🐶🐹🐼🐺,,U ⩍,so wooly,"ka: cxoveli ""animal""",land animal / mammal / beast; meat??,,,,akesi kala kasi kili pipi,
suli,,,🐘,,,⩍ ⊿,,"fi: suuri ""big""",size; great dimension; physical or emotional weight,grow / enlarge / lengthen,large / big / tall / long; important; adult / heavy,,lili,
suno,,☼☉,☀️,,,O ~ ⊹,sun,"eo: suno ""sun""",sun; light / brightness,shine,"bright, shining",,mun,
supa,,,🛏,,,E U,supine,surface,horizontal surface; furniture,,,,lape?,
suwi,,,🍭,🍬,,O W,sweet,"tp: swit ""sweet""",candy,sweeten,sweet / fragrant; cute / adorable,,,M
tan,,,⏪,↩️,,[ ⊿ ⊿,从,yue: 从 cung,origin / cause; reason?,,,from; because-of / by,,L
taso,,,🤔,🚦🚥,,⩍ ⊿ ⊿,that's-all,"tp: tasol ""but / only""",,,only / solely,but,,
